GMST|0x6de1c|fCombatTeammateFollowRadiusMult|
INFO|0x1011c8a||
INFO|0x1011c8b||
DIAL|0x1011c60|NVDLC01ElijahDialogueNVDLC01ElijahTopic099|Then I'll find a way to unlock the secrets of this vault, take them for myself.
INFO|0x1011c78||
DIAL|0x1011c61|NVDLC01ElijahDialogueNVDLC01ElijahTopic098|I'm not interested in the vault, I only want to leave.
INFO|0x1011c6b||
DIAL|0x1011c62|NVDLC01ElijahDialogueNVDLC01ElijahTopic097|Unless you come down here, I'll destroy the vault, everything in it.
INFO|0x1011c7d||
DIAL|0x1011c96|NVDLC01ETChristineVendBark|NVDLC01ETChristineVendBark
INFO|0x1011ca6||
DIAL|0x1011c97|NVDLC01WTChristineSmallSpaceBark|NVDLC01WTChristineSmallSpaceBark
INFO|0x1011ca1||
DIAL|0x1011c98|NVDLC01WTDeanSneakBark|NVDLC01WTDeanSneakBark
INFO|0x1011ca5||
DIAL|0x1011c99|NVDLC01WTDogInsideBark|NVDLC01WTDogInsideBark
INFO|0x1011ca9||
DIAL|0x1011c9a|NVDLC01WTDeanUmbrellasBark|NVDLC01WTDeanUmbrellasBark
INFO|0x1011ca2||
DIAL|0x1011c9b|NVDLC01WTDeanGalaBark|NVDLC01WTDeanGalaBark
INFO|0x1011ca4||
DIAL|0x1011c9c|NVDLC01WTChristineRoofBark|NVDLC01WTChristineRoofBark
INFO|0x1011ca8||
DIAL|0x1011c9d|NVDLC01WTDogRoofBark|NVDLC01WTDogRoofBark
INFO|0x1011ca0||
DIAL|0x1011c9e|NVDLC01WTDeanTreeBark|NVDLC01WTDeanTreeBark
INFO|0x1011ca3||
DIAL|0x1011c9f|NVDLC01WTChristineGalaBark|NVDLC01WTChristineGalaBark
INFO|0x1011ca7||
DIAL|0x1011d27|NVDLC01GalaEventActivate|NVDLC01GalaEventActivate
INFO|0x1011f5b||
INFO|0x1011d28||
INFO|0x1011f5c||
INFO|0x1011f5d||
INFO|0x1011f5e||
INFO|0x1011f5f||
INFO|0x1011f60||
INFO|0x1011f61||
INFO|0x1011f62||
INFO|0x1011f63||
DIAL|0x1011d7a|NVDLC01DogDialogueNVDLC01DogTopic056|There's no need for any of that, let's get out of here.
DIAL|0x1011d7b|NVDLC01DogDialogueNVDLC01DogTopic055|If you try to burn the voice out of you, this casino will be destroyed, and us along with it.
INFO|0x1011d94||
INFO|0x1011d95||
INFO|0x1011d96||
DIAL|0x1011d7c|NVDLC01DogDialogueNVDLC01DogTopic054|Dog, if you do this, you'll kill yourself.
DIAL|0x1011d7d|NVDLC01DogDialogueNVDLC01DogTopic053|<Storage Node for Final Battle, Likes Player Topics. Do Not Translate.>
INFO|0x1011d9e||
INFO|0x1011d9f||
INFO|0x1012246||
INFO|0x1012247||
INFO|0x1012248||
INFO|0x1012249||
INFO|0x101224a||
INFO|0x10124da||
INFO|0x10124db||
INFO|0x10124dc||
INFO|0x10124dd||
INFO|0x10124de||
INFO|0x10124df||
DIAL|0x1011d7e|NVDLC01DogDialogueNVDLC01DogTopic052|Take that chain around your neck, grab the ends, and pull slow and hard until you hear a crack.
INFO|0x10124e2||
DIAL|0x1011d80|NVDLC01DogDialogueNVDLC01DogTopic050|The other voice? See it in your head - not as a voice, but as a ball, the size of your hand.
INFO|0x101224b||
INFO|0x101224c||
INFO|0x101224d||
DIAL|0x1011d81|NVDLC01DogDialogueNVDLC01DogTopic049|Dog, listen to the other voice inside now. Go to sleep, let him come out.
INFO|0x1011d8f||
INFO|0x101223e||
INFO|0x101223f||
DIAL|0x1011d82|NVDLC01DogDialogueNVDLC01DogTopic047|No, look, I wasn't the one who caged you here, all right?
INFO|0x1011dac||
INFO|0x1011dad||
DIAL|0x1011d83|NVDLC01DogDialogueNVDLC01DogTopic046|Dog... stay back, listen to me.
INFO|0x1011d99||
INFO|0x1011d9a||
DIAL|0x1011d84|NVDLC01DogDialogueNVDLC01DogTopic045|Ready for more? Come on, let's finish this.
INFO|0x1011d9b||
DIAL|0x1011d85|NVDLC01DogDialogueNVDLC01DogTopic044|Forget this. Come on, let's fight, you big reject.
DIAL|0x1011d86|NVDLC01DogDialogueNVDLC01DogTopic035|I can't do it - fighting's more merciful than this.
DIAL|0x1011d87|NVDLC01DogDialogueNVDLC01DogTopic021|Master needs you to pull on the chain on your neck as hard as you can.
INFO|0x1011d8b||
DIAL|0x1011d88|NVDLC01DogDialogueNVDLC01DogTopic009|Dog... listen to me... don't do this.
INFO|0x1011da2||
INFO|0x1011da3||
DIAL|0x1011d89|NVDLC01DogDialogueNVDLC01DogTopic008|I don't plan on running, it's time to kill you both.
DIAL|0x1011d8a|NVDLC01DogDialogueNVDLC01DogTopic007|Come on, then. I won't make it easy on you.
INFO|0x1011d93||
DIAL|0x1011de1|NVDLC01EndingFinaleAllDead|NVDLC01EndingFinaleAllDead
INFO|0x1011df3||
DIAL|0x1011de2|NVDLC01EndingFinale|NVDLC01EndingFinale
INFO|0x1011dee||
DIAL|0x1011de3|NVDLC01EndingIntroVera|NVDLC01EndingIntroVera
INFO|0x1011de8||
DIAL|0x1011de4|NVDLC01EndingIntroElijah|NVDLC01EndingIntroElijah
INFO|0x1011de9||
DIAL|0x1011de5|NVDLC01EndingPlayerElijahTeam|NVDLC01EndingPlayerElijahTeam
INFO|0x1011dec||
DIAL|0x1011de6|NVDLC01EndingElijahTrappedPlayer|NVDLC01EndingElijahTrappedPlayer
DIAL|0x1011de7|NVDLC01EndingPlayerTrapped|NVDLC01EndingPlayerTrapped
INFO|0x1011ded||
DIAL|0x1011f39|NVDLC01DogDevourTopic01|NVDLC01DogDevourTopic01
INFO|0x1011f3a||
INFO|0x1011f3b||
INFO|0x1011f3c||
INFO|0x1011f3d||
DIAL|0x1011f50|NVDLC01GalaEventQuestNVDLC01DeanTopic002|Show's about to begin. People, take your places.
DIAL|0x1011f51|NVDLC01GalaEventQuestNVDLC01DeanTopic001|I'm ready. Everyone - trigger the event.
INFO|0x101214e||
DIAL|0x1011f52|NVDLC01GalaEventQuestNVDLC01DeanTopic000|Let's do this. On the count of three... two... one.
DIAL|0x1011f53|NVDLC01GalaEventQuestNVDLC01ChristineTopic005|<Give two taps back.>
DIAL|0x1011f54|NVDLC01GalaEventQuestNVDLC01ChristineTopic004|Only a little longer, and we'll open the casino.
DIAL|0x1011f55|NVDLC01GalaEventQuestNVDLC01ChristineTopic003|Christine? We're almost ready here.
INFO|0x1011f59||
DIAL|0x1011f56|NVDLC01GalaEventQuestNVDLC01ChristineTopic002|Must be you, Christine. Sit tight, not like you have a choice.
DIAL|0x1011f57|NVDLC01GalaEventQuestNVDLC01ChristineTopic001|Save your energy, we still have to pull this off.
DIAL|0x1011f58|NVDLC01GalaEventQuestNVDLC01ChristineTopic000|Now, now... I'll let you out when the event's over. Maybe.
INFO|0x1011f5a||
DIAL|0x1012217|NVDLC01DogDialogueNVDLC01GodTopic033|Fine, don't take too long, or it'll be a short recovery, trust me.
DIAL|0x1012218|NVDLC01DogDialogueNVDLC01GodTopic032|If you get the strength to leave, do so - quickly.
DIAL|0x1012219|NVDLC01DogDialogueNVDLC01GodTopic031|Go on and rest. I have to take care of something.
INFO|0x1012243||
DIAL|0x101221a|NVDLC01DogDialogueNVDLC01GodTopic030|We're trapped inside a casino in a poisonous city.
DIAL|0x101221b|NVDLC01DogDialogueNVDLC01GodTopic029|A cage... but at least you're not in two of them now.
INFO|0x1012239||
DIAL|0x101221c|NVDLC01DogDialogueNVDLC01GodTopic028|It'd take too long to explain.
INFO|0x1012240||
INFO|0x1012241||
DIAL|0x101221d|NVDLC01DogDialogueNVDLC01GodTopic027|Your voice... it's different.
DIAL|0x101221e|NVDLC01DogDialogueNVDLC01GodTopic026|Are you all right?
DIAL|0x101221f|NVDLC01DogDialogueNVDLC01GodTopic025|Dog?
INFO|0x101223d||
DIAL|0x1012220|NVDLC01DogDialogueNVDLC01GodTopic024|Just go before I change my mind.
DIAL|0x1012221|NVDLC01DogDialogueNVDLC01GodTopic023|I promise I'll try not to get killed.
DIAL|0x1012222|NVDLC01DogDialogueNVDLC01GodTopic022|We came this far, I'll manage. Go on, let go.
INFO|0x1012237||
INFO|0x1012238||
DIAL|0x1012223|NVDLC01DogDialogueNVDLC01GodTopic021|Then I don't want you to merge, I need you here... Dog, listen to my voice. Dog?
INFO|0x101223a||
INFO|0x101223b||
DIAL|0x1012224|NVDLC01DogDialogueNVDLC01GodTopic020|I don't want you to be under anyone's control, even mine.
DIAL|0x1012225|NVDLC01DogDialogueNVDLC01GodTopic019|Not having your help doesn't matter if this heals you.
INFO|0x1012255||
INFO|0x1012256||
INFO|0x1012257||
INFO|0x1012258||
DIAL|0x1012226|NVDLC01DogDialogueNVDLC01DogTopic070|Now that you see, I want you to step back, listen to the voice again.
DIAL|0x1012227|NVDLC01DogDialogueNVDLC01DogTopic069|Do you know what happens if you go into the water, Dog?
DIAL|0x1012228|NVDLC01DogDialogueNVDLC01DogTopic068|Then... step into the water, step into yourself.
INFO|0x1012235||
DIAL|0x1012229|NVDLC01DogDialogueNVDLC01DogTopic067|Try to picture the voice, inside, and, uh, turn in and look at it.
INFO|0x1012244||
INFO|0x1012245||
DIAL|0x101222a|NVDLC01DogDialogueNVDLC01GodTopic018|As long as you're not planning to blow up the casino now, great.
DIAL|0x101222b|NVDLC01DogDialogueNVDLC01GodTopic017|Now, if you've got him on a leash, I need to finish things here.
DIAL|0x101222c|NVDLC01DogDialogueNVDLC01GodTopic016|Are you going to be all right?
INFO|0x1012242||
DIAL|0x101222d|NVDLC01DogDialogueNVDLC01DogTopic066|That's it, sleep, reject. Sleep like the dead.
DIAL|0x101222e|NVDLC01DogDialogueNVDLC01DogTopic061|Goodnight, Dog. You won't wake up, ever again.
DIAL|0x101222f|NVDLC01DogDialogueNVDLC01DogTopic057|Close your eyes, and only open them if the voice tells you.
INFO|0x101223c||
DIAL|0x1012230|NVDLC01DogDialogueNVDLC01DogTopic048|Good... well done, Dog. I'm pleased. Now stay.
DIAL|0x1012231|NVDLC01DogDialogueNVDLC01DogTopic018|I have some unfinished business. Are you going to be all right?
DIAL|0x1012232|NVDLC01DogDialogueNVDLC01DogTopic017|Yes, well, it had to be done. Now, I need you to remain here.
INFO|0x1012236||
DIAL|0x1012233|NVDLC01DogDialogueNVDLC01DogTopic015|Aren't you hungry? Go on - feed, piece by piece.
DIAL|0x1012234|NVDLC01DogDialogueNVDLC01DogTopic010|No, hold it tightly by the neck - now sink your teeth into it, tear it apart.
INFO|0x101224e||
INFO|0x101224f||
INFO|0x1012250||
INFO|0x1012251||
DIAL|0x101233e|NVDLC01DogKitchenEnd|NVDLC01DogKitchenEnd
INFO|0x101233f||
INFO|0x1012340||
INFO|0x1012341||
INFO|0x1012342||
INFO|0x1012343||
INFO|0x1012344||
INFO|0x1012345||
INFO|0x1012346||
INFO|0x1012347||
INFO|0x1012348||
INFO|0x1012349||
DIAL|0x10124c7|NVDLC01DogDialogueNVDLC01DogTopic080|Maybe you just... uh... need to hear another voice, like mine.
INFO|0x10124d2||
INFO|0x10124d3||
DIAL|0x10124c8|NVDLC01DogDialogueNVDLC01DogTopic079|Look, listen to my voice, maybe... maybe I can help.
INFO|0x10124d1||
DIAL|0x10124c9|NVDLC01DogDialogueNVDLC01DogTopic076|I don't mean you any harm... you just need to calm down, focus.
INFO|0x10124e3||
INFO|0x10124e4||
INFO|0x10124e5||
DIAL|0x10124ca|NVDLC01DogDialogueNVDLC01DogTopic075|Forget it. I'm sick of dragging you around anyway.
INFO|0x10124d6||
INFO|0x10124d7||
DIAL|0x10124cb|NVDLC01DogDialogueNVDLC01DogTopic074|Bite down on it, chew until it's silent, then swallow it.
DIAL|0x10124cc|NVDLC01DogDialogueNVDLC01GodTopic034|Dog... don't do this, listen to me, my voice.
INFO|0x10124d4||
INFO|0x10124d5||
DIAL|0x10124cd|NVDLC01DogDialogueNVDLC01DogTopic072|Dog, that voice doesn't control you, all right?
INFO|0x10124d8||
INFO|0x10124d9||
DIAL|0x10124ce|NVDLC01DogDialogueNVDLC01DogTopic071|Fine, reject. You want to die? I'll accomodate you.
INFO|0x10124d0||
DIAL|0x10124cf|NVDLC01DogDialogueNVDLC01DogTopic051|You're not leaving me any choice, I have to stop you.
INFO|0x10124e0||
INFO|0x10124e1||
DIAL|0x101265a|NVDLC01DogDialogueNVDLC01DogTopic005|What are you, exactly? You're acting different than before.
INFO|0x1012a6f||
DIAL|0x101265b|NVDLC01DogDialogueNVDLC01DogTopic004|<Storage Node. Opening Topics. Do Not Translate.>
INFO|0x1012667||
INFO|0x1012668||
DIAL|0x101265c|NVDLC01DogDialogueNVDLC01DogTopic002|I heard electricity and radios can cause, uh, voices in people's heads.
INFO|0x1012663||
INFO|0x1012664||
DIAL|0x101265d|NVDLC01DogDialogueNVDLC01DogTopic001|Did you hit your head or something? You're acting odd.
INFO|0x101265f||
INFO|0x1012660||
DIAL|0x1012792|NVDLC01DogKitchenIntercom|NVDLC01DogKitchenIntercom
INFO|0x1012793||
INFO|0x1012bde||
INFO|0x1012bdf||
INFO|0x1012be0||
INFO|0x1012be1||
INFO|0x1012be2||
INFO|0x1012be3||
INFO|0x1012be4||
INFO|0x1012be5||
INFO|0x1012be6||
DIAL|0x10127a5|NVDLC01HoloVendorBuy|NVDLC01HoloVendorBuy
INFO|0x10127a9||
DIAL|0x10127a6|NVDLC01HoloVendorHello|NVDLC01HoloVendorHello
DIAL|0x10127a7|NVDLC01HoloVendorGoodbye|NVDLC01HoloVendorGoodbye
INFO|0x10127a8||
DIAL|0x10127f2|NVDLC01WTChristineTerrifiedSoundBark|NVDLC01WTChristineTerrifiedSoundBark
INFO|0x10127f3||
QUST|0x10127ab|NVDLC01HoloVendor|Hologram Vendor Quest
QUST|0x10123e3|NVDLC01ChristineBarkTimer|
QUST|0x1012314|NVDLC01FadeToCreditsTimer|
QUST|0x1011df4|NVDLC01BunkerTransitionTimer|
QUST|0x1011b11|NVDLC01ElijahBarkLobby|Lobby Casino Support Quest
QUST|0x10118e2|NVDLC01FountainStartSequence|
IDLE|0x10126ca|NVDLC01TalkHeadShakeEmphatic|
IDLE|0x10126c9|NVDLC01TalkHeadNodGrudging|
IDLE|0x101250c|NVDLC01ChristineAutoDocExit|
IDLE|0x101250b|DogRockingIdle|
IDLE|0x10123df|DogNeckSnap|
PACK|0x10126d6|NVDLC01DogInCell|
PACK|0x10126af|NVDLC01VaultElijahFightOut2Travel|
PACK|0x10126ae|NVDLC01VaultElijahRushInsideTravel|
PACK|0x101254a|NVDLC01StarletFountainPackage|
PACK|0x10123e7|NVDLC01ChristineAboutSpeakersPackage|
PACK|0x1012351|NVDLC01DogKitchenEndPackage|
PACK|0x10120ae|NVDLC01VillaHarvesterWorshipPackage|
PACK|0x1011f67|NVDLC01ChristineInAutoDoc|
PACK|0x1011a3e|NVDLC01ChristineSuitesWaitPackage|
PACK|0x1011a3d|NVDLC01ChristineSuitesWait2Package|
PACK|0x10119dd|NVDLC01DogAtGalaPosition|
PACK|0x10118e5|NVDLC01DogWaitingForFood|
PACK|0x1011730|NVDLC01ChristineSuitesElevatorPackage|
PACK|0x101146a|NVDCL01DeanAtGalaPosition|
LSCR|0x1012431|NVDLC01LoadScreenCasino23|
LSCR|0x1012430|NVDLC01LoadScreenCasino22|
LSCR|0x101242f|NVDLC01LoadScreenCasino21|
LSCR|0x101242e|NVDLC01LoadScreenCasino20|
LSCR|0x101242d|NVDLC01LoadScreenCasino19|
LSCR|0x101242c|NVDLC01LoadScreenCasino18|
LSCR|0x101242b|NVDLC01LoadScreenCasino17|
LSCR|0x101242a|NVDLC01LoadScreenCasino16|
LSCR|0x1012429|NVDLC01LoadScreenCasino15|
LSCR|0x1012428|NVDLC01LoadScreenCasino14|
LSCR|0x1012427|NVDLC01LoadScreenCasino13|
LSCR|0x1012426|NVDLC01LoadScreenCasino12|
LSCR|0x1012425|NVDLC01LoadScreenCasino11|
LSCR|0x1012424|NVDLC01LoadScreenCasino10|
LSCR|0x1012423|NVDLC01LoadScreenCasino09|
LSCR|0x1012422|NVDLC01LoadScreenCasino08|
LSCR|0x1012421|NVDLC01LoadScreenCasino07|
LSCR|0x1012420|NVDLC01LoadScreenCasino06|
LSCR|0x101241f|NVDLC01LoadScreenCasino05|
LSCR|0x101241e|NVDLC01LoadScreenCasino04|
LSCR|0x101241d|NVDLC01LoadScreenCasino03|
LSCR|0x101241c|NVDLC01LoadScreenCasino02|
LSCR|0x101241b|NVDLC01LoadScreenCasino01|
LSCR|0x101241a|NVDLC01LoadScreenET01|
LSCR|0x1012419|NVDLC01LoadScreenWT09|
LSCR|0x1012418|NVDLC01LoadScreenWT08|
LSCR|0x1012417|NVDLC01LoadScreenWT07|
LSCR|0x1012416|NVDLC01LoadScreenWT06|
LSCR|0x1012415|NVDLC01LoadScreenWT05|
LSCR|0x1012414|NVDLC01LoadScreenWT04|
LSCR|0x1012413|NVDLC01LoadScreenWT03|
LSCR|0x1012412|NVDLC01LoadScreenWT02|
LSCR|0x1012411|NVDLC01LoadScreenWT01|
LSCR|0x1012410|NVDLC01LoadScreenActTwo15|
LSCR|0x101240f|NVDLC01LoadScreenActTwo14|
LSCR|0x101240e|NVDLC01LoadScreenActTwo13|
LSCR|0x101240d|NVDLC01LoadScreenActTwo12|
LSCR|0x101240c|NVDLC01LoadScreenActTwo11|
LSCR|0x101240b|NVDLC01LoadScreenActTwo10|
LSCR|0x101240a|NVDLC01LoadScreenActTwo09|
LSCR|0x1012409|NVDLC01LoadScreenActTwo08|
LSCR|0x1012408|NVDLC01LoadScreenActTwo07|
LSCR|0x1012407|NVDLC01LoadScreenActTwo06|
LSCR|0x1012406|NVDLC01LoadScreenActTwo05|
LSCR|0x1012405|NVDLC01LoadScreenActTwo04|
LSCR|0x1012404|NVDLC01LoadScreenActTwo03|
LSCR|0x1012403|NVDLC01LoadScreenActTwo02|
LSCR|0x1012402|NVDLC01LoadScreenActTwo01|
LSCR|0x1012401|NVDLC01LoadScreenPolice03|
LSCR|0x1012400|NVDLC01LoadScreenPolice02|
LSCR|0x10123ff|NVDLC01LoadScreenPolice01|
LSCR|0x10123fe|NVDLC01LoadScreenRes01|
LSCR|0x10123fd|NVDLC01LoadScreenClinic02|
LSCR|0x10123fc|NVDLC01LoadScreenGen19|
LSCR|0x10123fb|NVDLC01LoadScreenGen18|
LSCR|0x10123fa|NVDLC01LoadScreenGen17|
LSCR|0x10123f9|NVDLC01LoadScreenGen16|
LSCR|0x10123f8|NVDLC01LoadScreenGen15|
LSCR|0x10123f7|NVDLC01LoadScreenGen14|
LSCR|0x10123f6|NVDLC01LoadScreenGen13|
LSCR|0x10123f5|NVDLC01LoadScreenGen12|
LSCR|0x10123f4|NVDLC01LoadScreenGen11|
LSCR|0x10123f3|NVDLC01LoadScreenGen10|
LSCR|0x10123f2|NVDLC01LoadScreenGen09|
LSCR|0x10123f1|NVDLC01LoadScreenGen08|
LSCR|0x10123f0|NVDLC01LoadScreenGen07|
LSCR|0x10123ef|NVDLC01LoadScreenGen06|
LSCR|0x10123ee|NVDLC01LoadScreenGen05|
LSCR|0x10123ed|NVDLC01LoadScreenGen04|
LSCR|0x10123ec|NVDLC01LoadScreenGen01|
LSCR|0x10123eb|NVDLC01LoadScreenClinic01|
LSCR|0x101235c|NVDLC01LoadScreenGen03|
LSCR|0x101235b|NVDLC01LoadScreenGen02|
EXPL|0x10126b0|NVDLC01VaultExplosion|Vault Fluff Explosion
IMGS|0x1011eb6|NVDLC01SuitesImageSpace|
IMAD|0x10126c6|NVDLC01EastTownIS|
IMAD|0x1012558|NVDLC01WestTownIS|
IMAD|0x10124c4|NVDLC01VillaExtIS|
IMAD|0x10118e4|FadeInFromBlack10sISFX|
PERK|0x1011469|NVDLC01Hobbler|Hobbler
PERK|0x1011468|NVDLC01HeavyWeight|Heavyweight
ECZN|0x1012562|NVDLC01Gala02Zone|
MESG|0x1012506|NVDLC01BombCollarChristineMsg|
MESG|0x1012505|NVDLC01CraftingNoSkillMsg|Repair Vending Machine Failure
MESG|0x1012504|NVDLC01CraftingFixedMsg|Vending Machine
MESG|0x1012502|NVDLC01CraftingRepairMsg|Repair Vending Machine
MESG|0x101229d|NVDLC01DogGalaDiagram02Msg|
MESG|0x101226f|NVDLC01DogGalaSwitchMsg|
MESG|0x101225d|NVDLC01HoloDisableMsg|
MESG|0x1011c37|NVDLC01ElevatorFumbledMsg|Vault Elevator Locked
MESG|0x1011b28|NVDLC01ChallengeDeanSecretStash|Secret Stash Found!
MESG|0x101190b|NVDLC01ElevatorUnlockedPasswordMsg|Vault Elevator Unlocked!
MESG|0x10113fb|NVDLC01ElevatorCodeInfoMsg|Object Inspected
MESG|0x10113fa|NVDLC01ElevatorLockedMsg|Vault Elevator Locked
LGTM|0x101200a|NVDLC01clinicLightingTemplate|
MUSC|0x1012152|NVDLC01EndGameEscape|
RCPE|0x1012519|RecipeNVDLC01ReturnSecurityHelmetAdv|[Return] SA Security Helmet, Reinforced
RCPE|0x1012518|RecipeNVDLC01ReturnSecurityHelmet|[Return] SA Security Helmet
RCPE|0x1012517|RecipeNVDLC01ReturnSecurityArmorAdv|[Return] SA Security Armor, Reinforced
RCPE|0x1012516|RecipeNVDLC01ReturnSecurityArmor|[Return] SA Security Armor
RCPE|0x1012515|RecipeNVDLC01ReturnHatFedora|[Return] Hat, Fedora
RCPE|0x1012514|RecipeNVDLC01ReturnSpringDirtyB|[Return] Parkstroller Outfit (Soiled)
RCPE|0x1012513|RecipeNVDLC01ReturnSpringDirtyA|[Return] Spring Outfit (Soiled)
RCPE|0x1012512|RecipeNVDLC01ReturnSpringwearB|[Return] Parkstroller Outfit
RCPE|0x1012511|RecipeNVDLC01ReturnCasualDirtyB|[Return] Relaxedwear (Soiled)
RCPE|0x1012510|RecipeNVDLC01ReturnCasualDirtyA|[Return] Casualwear (Soiled)
RCPE|0x101250f|RecipeNVDLC01ReturnCasualwearB|[Return] Relaxedwear
RCPE|0x101250e|RecipeNVDLC01ReturnSpringwearA|[Return] Spring Outfit
RCPE|0x101250d|RecipeNVDLC01ReturnCasualwearA|[Return] Casualwear
RCPE|0x1011f37|RecipeNVDLC01ReturnCigaretteCarton|[Return] Cigarette (Carton)
RCPE|0x1011f36|RecipeNVDLC01ReturnCigarettePack|[Return] Cigarette (Pack)
RCPE|0x1011b44|RecipeNVDLC01VendingVodka|Vodka
RCPE|0x1011b43|RecipeNVDLC01VendingScotch|Scotch
RCPE|0x1011b42|RecipeNVDLC01VendingWine|Wine
RCPE|0x1011b41|RecipeNVDLC01VendingMentats|Mentats
RCPE|0x1011b40|RecipeNVDLC01VendingBuffout|Buffout
RCPE|0x1011b3f|RecipeNVDLC01VendingRebound|Rebound
RCPE|0x1011b3e|RecipeNVDLC01VendingSteady|Steady
RCPE|0x1011b3d|RecipeNVDLC01VendingRadX|Rad-X
RCPE|0x1011b3c|RecipeNVDLC01VendingRadAway|RadAway
RCPE|0x1011b3b|RecipeNVDLC01VendingDemoCharge|Demolition Charge
RCPE|0x1011b3a|RecipeNVDLC01Vending308RifleRounds|.308 Rifle Rounds
RCPE|0x1011b39|RecipeNVDLC01Vending357MagnumRounds|.357 Magnum Rounds
RCPE|0x1011b38|RecipeNVDLC01VendingSuperStimpak|Super Stimpak
CHAL|0x1011f35|NVDLC01ChallengeLooseEnds|Loose Ends
CHAL|0x1011f34|NVDLC01ChallengeAllForOne|All For One
CHAL|0x1011f31|NVDLC01AchievementSafetyDepositBox|Safety Deposit Box
CHAL|0x1011f30|NVDLC01AchievementCashOut|Cash Out
CHAL|0x1011f2f|NVDLC01AchievementHavingABall|Having a Ball
CHAL|0x1011f2d|NVDLC01AchievementAssembleCrew|Assemble Your Crew
CHAL|0x1011f2b|NVDLC01ChallengeAuthorityIssues|Authority Issues
CHAL|0x1011b27|NVDLC01ChallengeDeansSecretStash|Dean's Secret Stash
CHIP|0x1011236|NVDLC01SierraMadreChip|Sierra Madre Chip
STAT|0x10111c9|NVDLC01SMRestaurantBathroomRmWallONLY01|
STAT|0x10111c8|NVDLC01SMRestaurantBathroomCeilingLights|
STAT|0x10111c7|NVDLC01SMRestaurantBathroomCeilingLightsCorner|
STAT|0x1010fbd|NVDLC01TSKitDoor03Static|
STAT|0x1010f91|NVDLC01Blood06|
STAT|0x1010f5b|NVDLC01diagram|
STAT|0x1010ef4|NVDLC01FWEvent|
STAT|0x1010ebf|NVDLC01SMRestaurantBathroomRmWallExSm01|
STAT|0x1010ebe|NVDLC01SMRestaurantBathroomRmWall01|
STAT|0x1010ebd|NVDLC01SMRestaurantBathroomRmCorInExSmL01|
STAT|0x1010ebc|NVDLC01SMRestaurantBathroomRmCorIn02|
STAT|0x1010e9f|NVDLC01VaultFloorEmblem|
STAT|0x1010dfd|NVDLC01OffHallSmStairs02|
STAT|0x1010dfc|NVDLC01OffHallSmStairs03|
STAT|0x1010dfb|NVDLC01OffHallSmEndExSmL01b|
STAT|0x1010dfa|NVDLC01OffHallSmEndExSmR01b|
STAT|0x1010df9|NVDLC01OffHallSm2Way01b|
STAT|0x1010dad|NVDLC01IronSconce01Off|
STAT|0x1010dac|NVDLC01IronSconce01|
STAT|0x1010bbb|NVDLC01CasLoColumnSquareShort|
STAT|0x1010bba|NVDLC01SMRestaurantReceptionStand|
STAT|0x1010bb9|NVDLC01SMRestaurantKitchenUpperCounter01|
STAT|0x1010bb8|NVDLC01SMRestaurantKitchenCounterEndL|
STAT|0x1010bb7|NVDLC01SMRestaurantKitchenCounterEndR|
STAT|0x1010bb6|NVDLC01SMRestaurantReceptionDeskShort|
STAT|0x1010bb5|NVDLC01SMRestaurantKitchenCounterMid01|
STAT|0x1010bb4|NVDLC01SMRestaurantReceptionDesk|
STAT|0x1010b88|NVDLC01VillaCliff02|
STAT|0x1010b87|NVDLC01VillaCliff01|
STAT|0x1010b79|NVDLC01VeraStarSign|
STAT|0x1010b78|NVDLC01DeanStarSign|
STAT|0x1010b1c|NVDLC01HoloEmitterOFF|
STAT|0x1010b08|NVDLC01HangingLampOFF|
STAT|0x1010b07|NVDLC01HangingLamp|
STAT|0x1010b06|NVDLC01CasLoColumnSquareTallTopOnly|
STAT|0x1010b05|NVDLC01OffRmCorIn05|
STAT|0x1010b04|NVDLC01OffHallSm1Way01b|
STAT|0x1010b03|NVDLC01OffRmCorInExSmL02|
STAT|0x1010b02|NVDLC01OffRmCorIn06|
STAT|0x1010b01|NVDLC01OffHallSmStairs02Pit|
STAT|0x1010b00|NVDLC01OffHallSm2WayExSmL01b|
STAT|0x1010aff|NVDLC01OffHallSm3Way01b|
STAT|0x1010afe|NVDLC01OffHallSm1WayExSm01b|
STAT|0x1010afd|NVDLC01OffHallSmEndExSm01b|
STAT|0x1010add|NVDLC01TheaterTicketSign|
STAT|0x1010adb|NVDLC01TheaterTampicoSign|
STAT|0x1010a6c|NVDLC01Poster01|
STAT|0x1010a1b|NVDLC01CasLoSignRestroom|
STAT|0x10109fe|NVDLC01CasLoSignSuites|
STAT|0x10109fd|NVDLC01CasLoSignTheater|
STAT|0x10109fc|NVDLC01CasLoSignRestaurant|
STAT|0x10109fb|NVDLC01CasLoSignLobby|
STAT|0x10109fa|NVDLC01CasLoSignCasino|
STAT|0x1010884|NVDLC01UtlHallSmEndExSmReg01|
STAT|0x1010883|NVDLC01FloorLamp|
STAT|0x1010882|NVDLC01CasLobbyCeilingBeamX02|
STAT|0x1010881|NVDLC01CasLobbyCeilingBeamX|
STAT|0x1010880|NVDLC01CasLobbyCeilingBeam4Way|
STAT|0x101087f|NVDLC01CasLobbyCeilingBeam3Way|
STAT|0x101087e|NVDLC01CasLobbyCeilingBeam2WayShort|
STAT|0x101087d|NVDLC01CasLobbyCeilingBeam2Way|
